Entity_ID:ID,Entity_Name,:Label,CreateTimeStamp,EFFDT,TERMDT,HashKey,Version,Status,Entity_Type,Entity_Parent_Name,Entity_Parent_Type,coordinate,Snipets
63T1HV4MV2297LDIKQ3L8U4KP4,most_recent_order_date,Column,20230801172336,20230801172336,99991231000000,63T1HV4MV2297LDIKQ3L8U4KP4,1,I,Column,CTE-CUSTOMER_ORDERS-1,With_cte,`[{"hashCode":"0","x":13,"y":9},{"hashCode":"0","x":13,"y":50}]`,`        max(order_date) as most_recent_order_date,`
1U6MVRTRDBPFDUJ2P7TI5KART0,number_of_orders,Column,20230801172336,20230801172336,99991231000000,1U6MVRTRDBPFDUJ2P7TI5KART0,1,I,Column,CTE-CUSTOMER_ORDERS-1,With_cte,`[{"hashCode":"0","x":14,"y":9},{"hashCode":"0","x":14,"y":44}]`,`        count(order_id) as number_of_orders,`
5OHQ1KS5I1MF0RNA2HKA3KD15M,RelationRows,Column,20230801172336,20230801172336,99991231000000,5OHQ1KS5I1MF0RNA2HKA3KD15M,1,I,Column,CTE-FINAL-1,With_cte,`[{"hashCode":"0","x":35,"y":15},{"hashCode":"0","x":35,"y":20}]`,`select * from final`
1OTR7NMBE4USFHP1JMG7AQDOU6,customer_id,Column,20230801172336,20230801172336,99991231000000,1OTR7NMBE4USFHP1JMG7AQDOU6,1,I,Column,CTE-FINAL-1,With_cte,`[{"hashCode":"0","x":22,"y":9},{"hashCode":"0","x":22,"y":30}]`,`        customers.customer_id,`
5PF0VMAMKH73FLF9L8SSK8QHFM,first_name,Column,20230801172336,20230801172336,99991231000000,5PF0VMAMKH73FLF9L8SSK8QHFM,1,I,Column,CTE-FINAL-1,With_cte,`[{"hashCode":"0","x":23,"y":9},{"hashCode":"0","x":23,"y":29}]`,`        customers.first_name,`
7UHQBOFEDVSE89RG5H66OGN4C,first_order_date,Column,20230801172336,20230801172336,99991231000000,7UHQBOFEDVSE89RG5H66OGN4C,1,I,Column,CTE-FINAL-1,With_cte,`[{"hashCode":"0","x":25,"y":9},{"hashCode":"0","x":25,"y":41}]`,`        customer_orders.first_order_date,`
F7LHFQOOF91HACITR4H7KD4D4,last_name,Column,20230801172336,20230801172336,99991231000000,F7LHFQOOF91HACITR4H7KD4D4,1,I,Column,CTE-FINAL-1,With_cte,`[{"hashCode":"0","x":24,"y":9},{"hashCode":"0","x":24,"y":28}]`,`        customers.last_name,`
2II30F6FNPT3BTI3M2V6TR1VB,lifetime_value,Column,20230801172336,20230801172336,99991231000000,2II30F6FNPT3BTI3M2V6TR1VB,1,I,Column,CTE-FINAL-1,With_cte,`[{"hashCode":"0","x":27,"y":9},{"hashCode":"0","x":27,"y":39}]`,`        customer_orders.lifetime_value,`
1Q2S7C7PLUN13TL0255ODGRG50,most_recent_order_date,Column,20230801172336,20230801172336,99991231000000,1Q2S7C7PLUN13TL0255ODGRG50,1,I,Column,CTE-FINAL-1,With_cte,`[{"hashCode":"0","x":26,"y":9},{"hashCode":"0","x":26,"y":47}]`,`        customer_orders.most_recent_order_date,`
3GG7AUV5JIQ7HEKNQ8BH6GK5NV,number_of_orders,Column,20230801172336,20230801172336,99991231000000,3GG7AUV5JIQ7HEKNQ8BH6GK5NV,1,I,Column,CTE-FINAL-1,With_cte,`[{"hashCode":"0","x":28,"y":9},{"hashCode":"0","x":28,"y":74}]`,`        coalesce(customer_orders.number_of_orders, 0) as number_of_orders`
