Entity_ID:ID,Entity_Name,:Label,CreateTimeStamp,EFFDT,TERMDT,HashKey,Version,Status,name,resource_type,unique_id,package_name,root_path,path,original_file_path,description,meta,docs,patch_path,created_at
`KLMPD9G1828GTLUS2E2JMEILS`,`snowflake__list_relations_without_caching`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`KLMPD9G1828GTLUS2E2JMEILS`,`1`,`I`,`snowflake__list_relations_without_caching`,`macro`,`macro.dbt_snowflake.snowflake__list_relations_without_caching`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`72SC0H1ALG7VIHGHC0TM1G3PUE`,`snowflake__check_schema_exists`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`72SC0H1ALG7VIHGHC0TM1G3PUE`,`1`,`I`,`snowflake__check_schema_exists`,`macro`,`macro.dbt_snowflake.snowflake__check_schema_exists`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`6E5BF2LVUJH417NSS3G1J7JEAG`,`snowflake__current_timestamp`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`6E5BF2LVUJH417NSS3G1J7JEAG`,`1`,`I`,`snowflake__current_timestamp`,`macro`,`macro.dbt_snowflake.snowflake__current_timestamp`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`691VJHFCVV7ILV8JN9RMBMQCTG`,`snowflake__snapshot_string_as_time`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`691VJHFCVV7ILV8JN9RMBMQCTG`,`1`,`I`,`snowflake__snapshot_string_as_time`,`macro`,`macro.dbt_snowflake.snowflake__snapshot_string_as_time`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`38R3B6FUG0037QQLVDJTLKRQ9B`,`snowflake__snapshot_get_time`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`38R3B6FUG0037QQLVDJTLKRQ9B`,`1`,`I`,`snowflake__snapshot_get_time`,`macro`,`macro.dbt_snowflake.snowflake__snapshot_get_time`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`5KKBUC4K0N8BE1SMOJGR1DH5C3`,`snowflake__rename_relation`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`5KKBUC4K0N8BE1SMOJGR1DH5C3`,`1`,`I`,`snowflake__rename_relation`,`macro`,`macro.dbt_snowflake.snowflake__rename_relation`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`23JAQQS85U0I2079MLCU4RC8ML`,`snowflake__alter_column_type`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`23JAQQS85U0I2079MLCU4RC8ML`,`1`,`I`,`snowflake__alter_column_type`,`macro`,`macro.dbt_snowflake.snowflake__alter_column_type`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`63ME8AT00QT9C70TVFJBLH5G6G`,`snowflake__alter_relation_comment`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`63ME8AT00QT9C70TVFJBLH5G6G`,`1`,`I`,`snowflake__alter_relation_comment`,`macro`,`macro.dbt_snowflake.snowflake__alter_relation_comment`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`1ODJOFKAR9944RQLH5HCEUFT31`,`snowflake__alter_column_comment`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`1ODJOFKAR9944RQLH5HCEUFT31`,`1`,`I`,`snowflake__alter_column_comment`,`macro`,`macro.dbt_snowflake.snowflake__alter_column_comment`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`685CRUIGH5F0PLO7AK7B7EMT1N`,`get_current_query_tag`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`685CRUIGH5F0PLO7AK7B7EMT1N`,`1`,`I`,`get_current_query_tag`,`macro`,`macro.dbt_snowflake.get_current_query_tag`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
