SRC_Entity_ID;SRC_Entity_HashKey;SRC_Entity_Type;TGT_Enity_ID;TGT_Entity_Type;TGT_Entity_HASKEY;Entity_Relationship_Type;CreateTimeStamp;EFFDT;TERMDT;HashKey;Version;Status
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~75~most_recent_order_date;1Q2S7C7PLUN13TL0255ODGRG50;Column;Snowflake~DEFAULT~DEFAULT~RS-5~84~most_recent_order_date;Column;5POASV3MA0TV0SGPID6IPNNRTC;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;3RA935O7NS1JFNEADR0VR9J0JL;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~76~lifetime_value;2II30F6FNPT3BTI3M2V6TR1VB;Column;Snowflake~DEFAULT~DEFAULT~RS-5~85~lifetime_value;Column;3F07LTBEBL0IOHDHCEL631LSQA;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;1C3K1Q6P4ED4N2HPDF5D4AQGHR;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~77~number_of_orders;3GG7AUV5JIQ7HEKNQ8BH6GK5NV;Column;Snowflake~DEFAULT~DEFAULT~RS-5~86~number_of_orders;Column;4P1UD5LSPVTG06CMO9JL2OTU8J;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;2TGQBA9CNS0Q4SMSHR33BBCCM1;1;I
Snowflake~DEFAULT~DEFAULT~COUNT~48~count;5VNLUVCR38TGD9DK3DMFIRJMK7;Column;Snowflake~DEFAULT~DEFAULT~RS-3~45~number_of_orders;Column;2OIMPDT2DRK6IFLHHJ7V1BQ7MC;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;7L0MNO3GRKSINQK0GD22GRAB66;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS~9~customer_id;57UPAVRUGC6A428091D35ILQ3O;Column;Snowflake~DEFAULT~DEFAULT~RS-1~87~customer_id;Column;65HQUN3LPK36F5TFS1OD9AC4M2;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;1O91Q5G3DBE58KELLPH5TS9UND;1;I
Snowflake~DEFAULT~DEFAULT~SUM~52~sum;3IK3CE6RAKRGVP9LSKN8B2HC8M;Column;Snowflake~DEFAULT~DEFAULT~RS-3~49~lifetime_value;Column;5H9P60FHL939QHFHPVFS18737Q;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;74V0HV1NSMVKR5JVA8OI2V3I3E;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS~10~first_name;2C6S0Q9SLIVLSKRKR6HA1SBSCV;Column;Snowflake~DEFAULT~DEFAULT~RS-1~14_1~FIRST_NAME;Column;1EPKUSPMRRBJJEJ87P8ET83HPT;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;11SAR0LHH3EC0TESRN9VRCL3E4;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33_3~AMOUNT;13OTF7VUT2CB0V0C89A0U92AMT;Column;Snowflake~DEFAULT~DEFAULT~SUM~52~sum;Column;3IK3CE6RAKRGVP9LSKN8B2HC8M;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;6F80TPD9D6RBDAJE2KT4GTLOE2;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS~11~last_name;6JIJ09I6AH0QO5RU906O5GM5VS;Column;Snowflake~DEFAULT~DEFAULT~RS-1~14_2~LAST_NAME;Column;6M16DAU5149QM8HS2TR9QVEN7I;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;4M7JLV850C7A09E02USU8BDUCP;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS~25~customer_id;5F075UOUC98T1818AMP199BGNC;Column;Snowflake~DEFAULT~DEFAULT~RS-2~31_0~CUSTOMER_ID;Column;6O7HU25H2DPOO9QHPQ29MKTRJI;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;1SF1KO34KJVVNO9M8U2E7BML7P;1;I
Snowflake~DEFAULT~DEFAULT~RS-3~36~customer_id;3UAM8OMQSRDT9F1G1KT3RP2E32;Column;Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~53~customer_id;Column;M52FG5NNT2U3P5PQNT1HCBMT8;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;N8V9DTB7AJB8FN5KBQKO0BGHN;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS~26~order_date;4D7LVUF54EMFVH1HGJIKLH7HM0;Column;Snowflake~DEFAULT~DEFAULT~RS-2~31_1~ORDER_DATE;Column;2EDQKDOISGUPV0M70GSBB5NN8D;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;QDARAUKTFV938INJDGMG8UR0O;1;I
Snowflake~DEFAULT~DEFAULT~RS-3~37~first_order_date;1439MER1T46D8PMIFV1BEL5QRT;Column;Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~54~first_order_date;Column;1FGPPONSJACMRFEOHUP0B0B0LO;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;6HAVH81T9JLMESH4E4BP7E6KTE;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS~27~order_id;4RTBMNOHC6GOV31Q6M8VSHSD17;Column;Snowflake~DEFAULT~DEFAULT~RS-2~31_2~ORDER_ID;Column;1H180C02MFV0D5HQL2PMHRTU6C;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;420TAGOAFPISHKTANPFCIDJ7PD;1;I
Snowflake~DEFAULT~DEFAULT~RS-3~41~most_recent_order_date;2II6SU5CJV250O7N2ABSAN5COL;Column;Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~55~most_recent_order_date;Column;63T1HV4MV2297LDIKQ3L8U4KP4;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;5VFC2SM4BPQTOG7FBH7U0TURII;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS~28~amount;3RVOCMQ2NJC6MJAM47GIMMDKQ2;Column;Snowflake~DEFAULT~DEFAULT~RS-2~31_3~AMOUNT;Column;7KP7S7RERMVESN72PE4LSRTITK;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;68T8S28M8ELJ011C3VHMTD25JL;1;I
Snowflake~DEFAULT~DEFAULT~RS-3~45~number_of_orders;2OIMPDT2DRK6IFLHHJ7V1BQ7MC;Column;Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~56~number_of_orders;Column;1U6MVRTRDBPFDUJ2P7TI5KART0;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;1F5LA3GF5N34LDJ1IKGB61D257;1;I
Snowflake~DEFAULT~DEFAULT~RS-3~49~lifetime_value;5H9P60FHL939QHFHPVFS18737Q;Column;Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~57~lifetime_value;Column;59MKQ7C4GIC34MFBPTJG9SFSP4;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;2DU2MRTCCEL1GGSPHSCOEAVLMA;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS~9~customer_id;57UPAVRUGC6A428091D35ILQ3O;Column;Snowflake~DEFAULT~DEFAULT~RS-1~14~*;Column;4NNFSUNSI94T7ETIKKR0FFCPKN;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;6MFUDVJRS5I3P1IOF4A47U8S8C;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS~10~first_name;2C6S0Q9SLIVLSKRKR6HA1SBSCV;Column;Snowflake~DEFAULT~DEFAULT~RS-1~14~*;Column;4NNFSUNSI94T7ETIKKR0FFCPKN;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;2N77B87RV5HCVD7J6C3JKEV3QI;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS~11~last_name;6JIJ09I6AH0QO5RU906O5GM5VS;Column;Snowflake~DEFAULT~DEFAULT~RS-1~14~*;Column;4NNFSUNSI94T7ETIKKR0FFCPKN;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;12VNJSE6PIVCR6F1ERA5UV1QNM;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS~15~*;2K8D5MQEPCLC979L9RPCNPS8GJ;Column;Snowflake~DEFAULT~DEFAULT~RS-1~14~*;Column;4NNFSUNSI94T7ETIKKR0FFCPKN;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;6MF76QQ52EJIQJ4LPH8H4RNS03;1;I
Snowflake~DEFAULT~DEFAULT~RS-1~14~*;4NNFSUNSI94T7ETIKKR0FFCPKN;Column;Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMERS-1~16~*;Column;9F0QUKT7H6D3F87H4QNJLQKJ7;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;5L8QTU8PE30PEEVBD9BGBHRC7F;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS~25~customer_id;5F075UOUC98T1818AMP199BGNC;Column;Snowflake~DEFAULT~DEFAULT~RS-2~31~*;Column;3ALPATRST0K36PBGG58Q9RTE3R;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;74QK5J0TF5NO0A4S8GQGDQNM3B;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS~26~order_date;4D7LVUF54EMFVH1HGJIKLH7HM0;Column;Snowflake~DEFAULT~DEFAULT~RS-2~31~*;Column;3ALPATRST0K36PBGG58Q9RTE3R;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;7QQ7SH8KR00GFGRG289993GPOB;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS~27~order_id;4RTBMNOHC6GOV31Q6M8VSHSD17;Column;Snowflake~DEFAULT~DEFAULT~RS-2~31~*;Column;3ALPATRST0K36PBGG58Q9RTE3R;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;6RNBFP94VGP7KFL9BPIMNH1MJ2;1;I
