Entity_ID;Entity_Name;Entity_Type;Entity_Parent_Name;Entity_Parent_Type;Label;CreateTimeStamp;EFFDT;TERMDT;HashKey;Version;Status
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMERS-1~16_1~FIRST_NAME;FIRST_NAME;Column;CTE-CUSTOMERS-1;With_cte;Column;20230801172336;20230801172336;99991231000000;PE9QB9K47GFSFBPNTLN35ODHI;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMERS-1~16_2~LAST_NAME;LAST_NAME;Column;CTE-CUSTOMERS-1;With_cte;Column;20230801172336;20230801172336;99991231000000;2PGAHH00L3R1JBICMK990JDKEG;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~53~customer_id;customer_id;Column;CTE-CUSTOMER_ORDERS-1;With_cte;Column;20230801172336;20230801172336;99991231000000;M52FG5NNT2U3P5PQNT1HCBMT8;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~54~first_order_date;first_order_date;Column;CTE-CUSTOMER_ORDERS-1;With_cte;Column;20230801172336;20230801172336;99991231000000;1FGPPONSJACMRFEOHUP0B0B0LO;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~57~lifetime_value;lifetime_value;Column;CTE-CUSTOMER_ORDERS-1;With_cte;Column;20230801172336;20230801172336;99991231000000;59MKQ7C4GIC34MFBPTJG9SFSP4;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~55~most_recent_order_date;most_recent_order_date;Column;CTE-CUSTOMER_ORDERS-1;With_cte;Column;20230801172336;20230801172336;99991231000000;63T1HV4MV2297LDIKQ3L8U4KP4;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~56~number_of_orders;number_of_orders;Column;CTE-CUSTOMER_ORDERS-1;With_cte;Column;20230801172336;20230801172336;99991231000000;1U6MVRTRDBPFDUJ2P7TI5KART0;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~1~RelationRows;RelationRows;Column;CTE-FINAL-1;With_cte;Column;20230801172336;20230801172336;99991231000000;5OHQ1KS5I1MF0RNA2HKA3KD15M;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~71~customer_id;customer_id;Column;CTE-FINAL-1;With_cte;Column;20230801172336;20230801172336;99991231000000;1OTR7NMBE4USFHP1JMG7AQDOU6;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~72~first_name;first_name;Column;CTE-FINAL-1;With_cte;Column;20230801172336;20230801172336;99991231000000;5PF0VMAMKH73FLF9L8SSK8QHFM;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~74~first_order_date;first_order_date;Column;CTE-FINAL-1;With_cte;Column;20230801172336;20230801172336;99991231000000;7UHQBOFEDVSE89RG5H66OGN4C;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~73~last_name;last_name;Column;CTE-FINAL-1;With_cte;Column;20230801172336;20230801172336;99991231000000;F7LHFQOOF91HACITR4H7KD4D4;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~76~lifetime_value;lifetime_value;Column;CTE-FINAL-1;With_cte;Column;20230801172336;20230801172336;99991231000000;2II30F6FNPT3BTI3M2V6TR1VB;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~75~most_recent_order_date;most_recent_order_date;Column;CTE-FINAL-1;With_cte;Column;20230801172336;20230801172336;99991231000000;1Q2S7C7PLUN13TL0255ODGRG50;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~77~number_of_orders;number_of_orders;Column;CTE-FINAL-1;With_cte;Column;20230801172336;20230801172336;99991231000000;3GG7AUV5JIQ7HEKNQ8BH6GK5NV;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33~*;*;Column;CTE-ORDERS-1;With_cte;Column;20230801172336;20230801172336;99991231000000;35SNICA0NCUKQ9RTFO6RBMVHRL;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33_3~AMOUNT;AMOUNT;Column;CTE-ORDERS-1;With_cte;Column;20230801172336;20230801172336;99991231000000;13OTF7VUT2CB0V0C89A0U92AMT;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33_0~CUSTOMER_ID;CUSTOMER_ID;Column;CTE-ORDERS-1;With_cte;Column;20230801172336;20230801172336;99991231000000;40DMG0K1Q3D358M7U2AM3H8DJC;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33_1~ORDER_DATE;ORDER_DATE;Column;CTE-ORDERS-1;With_cte;Column;20230801172336;20230801172336;99991231000000;3J6QBS1N2TA4EDLPTG59PKNFAN;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33_2~ORDER_ID;ORDER_ID;Column;CTE-ORDERS-1;With_cte;Column;20230801172336;20230801172336;99991231000000;71NLVB2O5VDNTQU67HR3D7AGO2;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~19~RelationRows;RelationRows;Column;CTE-ORDERS-1;With_cte;Column;20230801172336;20230801172336;99991231000000;3DB32S22717BNASV8MQEL7JNSE;1;I
Snowflake~DEFAULT~DEFAULT~RS-1~14~*;*;Column;RS-1;Select_list;Column;20230801172336;20230801172336;99991231000000;4NNFSUNSI94T7ETIKKR0FFCPKN;1;I
Snowflake~DEFAULT~DEFAULT~RS-1~14_1~FIRST_NAME;FIRST_NAME;Column;RS-1;Select_list;Column;20230801172336;20230801172336;99991231000000;1EPKUSPMRRBJJEJ87P8ET83HPT;1;I
Snowflake~DEFAULT~DEFAULT~RS-1~14_2~LAST_NAME;LAST_NAME;Column;RS-1;Select_list;Column;20230801172336;20230801172336;99991231000000;6M16DAU5149QM8HS2TR9QVEN7I;1;I
Snowflake~DEFAULT~DEFAULT~RS-1~87~customer_id;customer_id;Column;RS-1;Select_list;Column;20230801172336;20230801172336;99991231000000;65HQUN3LPK36F5TFS1OD9AC4M2;1;I
Snowflake~DEFAULT~DEFAULT~RS-2~31~*;*;Column;RS-2;Select_list;Column;20230801172336;20230801172336;99991231000000;3ALPATRST0K36PBGG58Q9RTE3R;1;I
Snowflake~DEFAULT~DEFAULT~RS-2~31_3~AMOUNT;AMOUNT;Column;RS-2;Select_list;Column;20230801172336;20230801172336;99991231000000;7KP7S7RERMVESN72PE4LSRTITK;1;I
