Entity_ID;HashKey;EntityHashKey;Attribute;Value;CreateTimeStamp;EFFDT;TERMDT;Version;Status
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS~15~*;3I8BE3UQ1NRFJPNDSDUN4IV6OQ;2K8D5MQEPCLC979L9RPCNPS8GJ;coordinate;[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS~9~customer_id;4QERGALLSN136PL26MUM61CLH5;57UPAVRUGC6A428091D35ILQ3O;coordinate;[{"hashCode":"0","x":32,"y":12},{"hashCode":"0","x":32,"y":33}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS~10~first_name;1JABK2S4C4K4FRE8NDCSSQ6NVK;2C6S0Q9SLIVLSKRKR6HA1SBSCV;coordinate;[{"hashCode":"0","x":23,"y":9},{"hashCode":"0","x":23,"y":29}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_CUSTOMERS~11~last_name;49L31EK7E3R2MLRUEKOFVLH492;6JIJ09I6AH0QO5RU906O5GM5VS;coordinate;[{"hashCode":"0","x":24,"y":9},{"hashCode":"0","x":24,"y":28}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMERS-1~16~*;74BAGDRVEQS2BT9BL0OLPE1K11;9F0QUKT7H6D3F87H4QNJLQKJ7;coordinate;[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMERS-1~16_0~CUSTOMER_ID;2TG92RTBH5U9C0RDSKJ49S8HUM;26KUS9EUU1MO25T2VDPMJ7TMHO;coordinate;[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMERS-1~16_1~FIRST_NAME;36CQKE480AHJ7BRJTGLF0VD24J;PE9QB9K47GFSFBPNTLN35ODHI;coordinate;[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMERS-1~16_2~LAST_NAME;616HODLP8V592F7V5GFL16M9QF;2PGAHH00L3R1JBICMK990JDKEG;coordinate;[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~53~customer_id;5UNG1EGNNVROJ5RVV5U31FODB4;M52FG5NNT2U3P5PQNT1HCBMT8;coordinate;[{"hashCode":"0","x":11,"y":9},{"hashCode":"0","x":11,"y":20}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~54~first_order_date;5QKSCVGP9M772PJMF7SSIFJP70;1FGPPONSJACMRFEOHUP0B0B0LO;coordinate;[{"hashCode":"0","x":12,"y":9},{"hashCode":"0","x":12,"y":44}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~57~lifetime_value;T2FRNFAGSF13ES7BS2VNPUVUQ;59MKQ7C4GIC34MFBPTJG9SFSP4;coordinate;[{"hashCode":"0","x":15,"y":9},{"hashCode":"0","x":15,"y":38}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~55~most_recent_order_date;FIOUMSLO1Q5OI33OSE4N0ECSR;63T1HV4MV2297LDIKQ3L8U4KP4;coordinate;[{"hashCode":"0","x":13,"y":9},{"hashCode":"0","x":13,"y":50}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMER_ORDERS-1~56~number_of_orders;7TE7RQ192HSKRUG9N9IA31IFF2;1U6MVRTRDBPFDUJ2P7TI5KART0;coordinate;[{"hashCode":"0","x":14,"y":9},{"hashCode":"0","x":14,"y":44}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~1~RelationRows;53QEVIE831BMVPRF5URCN8UEHB;5OHQ1KS5I1MF0RNA2HKA3KD15M;coordinate;[{"hashCode":"0","x":35,"y":15},{"hashCode":"0","x":35,"y":20}];20230801172336;20230801172336;99991231000000;1;I
