:START_ID,:END_ID,:TYPE,CreateTimeStamp,EFFDT,TERMDT,Version,Status
P4GBV2JNUIHEM2AOPKKQ6U92V,4F47ICV2A920U4DOA60ACGMDFM,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
P4GBV2JNUIHEM2AOPKKQ6U92V,54FOLQ4CIV7CKFTK5HJP064HC4,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
P4GBV2JNUIHEM2AOPKKQ6U92V,2VR5MNU1MN5J3MB45MA44D2K6T,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
P4GBV2JNUIHEM2AOPKKQ6U92V,458V71UMR5MV0U8JI87U25H0OA,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
P4GBV2JNUIHEM2AOPKKQ6U92V,56ARE8O0945IS5PA50KL9PJQOQ,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
2VR41GJS6B9GC9JMR4NF2IQUO1,4F47ICV2A920U4DOA60ACGMDFM,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
2VR41GJS6B9GC9JMR4NF2IQUO1,54FOLQ4CIV7CKFTK5HJP064HC4,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
2VR41GJS6B9GC9JMR4NF2IQUO1,2VR5MNU1MN5J3MB45MA44D2K6T,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
2VR41GJS6B9GC9JMR4NF2IQUO1,458V71UMR5MV0U8JI87U25H0OA,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
2VR41GJS6B9GC9JMR4NF2IQUO1,56ARE8O0945IS5PA50KL9PJQOQ,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
29DUOSU1TLLFKGOP1FIP7SUO3F,4F47ICV2A920U4DOA60ACGMDFM,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
29DUOSU1TLLFKGOP1FIP7SUO3F,6MTI0794H57JG5JE3U34LID9CJ,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
